feature,Selection count,Pair count,CPSS Score,Worst Case Bound,Unimodal Bound
TPM__PRAF2,2,0,0.2,False,False
TPM__RNF157,2,0,0.2,False,False
TPM__CEP112,2,0,0.2,False,False
METH__SPRR4,2,0,0.2,False,False
METH__ABAT,2,0,0.2,False,False
METH__BMF,2,0,0.2,False,False
TPM__SPRED3,2,0,0.2,False,False
TPM__CNN3,2,0,0.2,False,False
TPM__TP53INP2,2,1,0.2,False,False
TPM__TRIM29,2,0,0.2,False,False
TPM__SCG5,2,1,0.2,False,False
TPM__GJB5,2,0,0.2,False,False
TPM__ZC2HC1A,2,0,0.2,False,False
TPM__SLC20A1-DT,2,0,0.2,False,False
METH__PCDHAC1,2,1,0.2,False,False
TPM__SYS1-DBNDD2,2,1,0.2,False,False
TPM__NALF1,2,0,0.2,False,False
TPM__DLGAP4,2,1,0.2,False,False
TPM__MAGED1,2,0,0.2,False,False
TPM__PCDHGA1,2,0,0.2,False,False
TPM__RHEB,2,0,0.2,False,False
TPM__DTNA,2,0,0.2,False,False
TPM__NR2F1,2,0,0.2,False,False
TPM__NBPF9,2,0,0.2,False,False
TPM__ARNT2-DT,2,0,0.2,False,False
TPM__FAM219A,2,0,0.2,False,False
TPM__STK36,2,0,0.2,False,False
TPM__G6PC3,2,1,0.2,False,False
TPM__PRUNE2,2,0,0.2,False,False
TPM__GNS,2,0,0.2,False,False
TPM__RGS17,2,0,0.2,False,False
TPM__CFL2,2,0,0.2,False,False
TPM__DNAJB5,2,1,0.2,False,False
TPM__TBC1D9,2,0,0.2,False,False
TPM__GNA11,2,0,0.2,False,False
TPM__RGMB-AS1,2,0,0.2,False,False
TPM__ADA,2,0,0.2,False,False
TPM__NME5,2,1,0.2,False,False
TPM__RAB23,2,0,0.2,False,False
TPM__CEP170,2,0,0.2,False,False
TPM__ASTN2,2,0,0.2,False,False
TPM__PCDHB12,2,0,0.2,False,False
TPM__HPCAL1,2,0,0.2,False,False
METH__TENC1,2,0,0.2,False,False
TPM__PPP2R5B,2,0,0.2,False,False
TPM__ANXA8,2,0,0.2,False,False
TPM__SHC2,2,0,0.2,False,False
METH__GPR158,1,0,0.1,False,False
METH__LOC100128811,1,0,0.1,False,False
TPM__SCARB2,1,0,0.1,False,False
TPM__BBS5,1,0,0.1,False,False
TPM__AKT3,1,0,0.1,False,False
TPM__SGCE,1,0,0.1,False,False
TPM__LOXL3,1,0,0.1,False,False
TPM__ARHGDIB,1,0,0.1,False,False
TPM__NRSN2,1,0,0.1,False,False
TPM__PSD4,1,0,0.1,False,False
TPM__LINC02541,1,0,0.1,False,False
TPM__AQP3,1,0,0.1,False,False
TPM__TCEAL3,1,0,0.1,False,False
TPM__TTLL7,1,0,0.1,False,False
TPM__ATP6V0E2-AS1,1,0,0.1,False,False
TPM__NCAM1,1,0,0.1,False,False
TPM__STXBP1,1,0,0.1,False,False
TPM__S100A9,1,0,0.1,False,False
METH__MESDC1,1,0,0.1,False,False
TPM__CDH2,1,0,0.1,False,False
TPM__RGS3,1,0,0.1,False,False
TPM__C1orf216,1,0,0.1,False,False
TPM__VAMP8,1,0,0.1,False,False
TPM__CRAT,1,0,0.1,False,False
TPM__MAST2,1,0,0.1,False,False
TPM__MAGI2,1,0,0.1,False,False
TPM__APLP1,1,0,0.1,False,False
TPM__MAP3K12,1,0,0.1,False,False
