feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__SEPTIN6,100,50,1.0,0.23000000417232513,-0.48,0.25,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.23000000417232513,-0.39,0.24,True,1.0,unimodal,0.71,True
TPM__TLCD2,100,50,1.0,0.07999999821186066,0.36,0.22,True,1.0,unimodal,0.71,True
TPM__CTTN,100,50,1.0,0.2199999988079071,0.47,0.23,True,1.0,unimodal,0.71,True
METH__JUB,100,50,1.0,0.20999999344348907,-0.46,0.24,True,1.0,unimodal,0.71,True
TPM__ARSJ,100,50,1.0,0.1599999964237213,0.47,0.23,True,1.0,unimodal,0.71,True
TPM__RASGRP2,100,50,1.0,0.20000000298023224,-0.37,0.22,True,1.0,unimodal,0.71,True
METH__RAVER1,100,50,1.0,0.1899999976158142,-0.26,0.23,True,1.0,unimodal,0.71,True
TPM__MIR142HG,100,50,1.0,0.25,-0.31,0.28,True,1.0,unimodal,0.71,True
TPM__SH2D3C,100,50,1.0,0.2199999988079071,-0.46,0.23,True,1.0,unimodal,0.71,True
TPM__KRT15,100,50,1.0,0.09000000357627869,0.42,0.24,True,1.0,unimodal,0.71,True
TPM__ARHGAP15,99,49,0.99,0.23000000417232513,-0.34,0.22,True,1.0,unimodal,0.71,True
METH__BZRAP1,99,49,0.99,0.23999999463558197,0.43,0.22,True,1.0,unimodal,0.71,True
METH__GPR125,99,49,0.99,0.17000000178813934,-0.35,0.24,True,1.0,unimodal,0.71,True
METH__LAMB2,99,49,0.99,0.18000000715255737,-0.15,0.26,True,1.0,unimodal,0.71,True
METH__TMEM149,99,49,0.99,0.20999999344348907,0.36,0.24,True,1.0,unimodal,0.71,True
TPM__ITGAV,99,49,0.99,0.17000000178813934,0.43,0.22,True,1.0,unimodal,0.71,True
TPM__HCLS1,98,48,0.98,0.17000000178813934,-0.33,0.22,True,1.0,unimodal,0.71,True
TPM__PSG4,98,48,0.98,0.05999999865889549,0.39,0.22,True,1.0,unimodal,0.71,True
METH__PTPN14,98,48,0.98,0.17000000178813934,-0.43,0.29,True,1.0,unimodal,0.71,True
TPM__THRB,98,48,0.98,0.10999999940395355,0.41,0.23,True,1.0,unimodal,0.71,True
TPM__ASPH,98,48,0.98,0.1899999976158142,0.47,0.23,True,1.0,unimodal,0.71,True
METH__VAV1,97,47,0.97,0.11999999731779099,0.38,0.22,True,0.992,unimodal,0.71,True
METH__CCM2,97,47,0.97,0.23999999463558197,0.4,0.27,True,0.992,unimodal,0.71,True
TPM__CORO1A-AS1,97,47,0.97,0.1599999964237213,-0.35,0.23,True,0.992,unimodal,0.71,True
METH__EIF3K,96,46,0.96,0.23000000417232513,0.43,0.26,True,0.832,unimodal,0.71,True
METH__NPAS2,95,45,0.95,0.20000000298023224,-0.43,0.27,True,0.458,unimodal,0.71,True
METH__GPX8,94,44,0.94,0.12999999523162842,-0.35,0.24,True,0.181,unimodal,0.71,True
METH__C9orf150,93,43,0.93,0.1899999976158142,-0.33,0.22,True,0.053,unimodal,0.71,True
METH__LRIG3,92,42,0.92,0.1899999976158142,-0.36,0.28,False,0.013,worst_case,0.8942505133470227,True
METH__MYO1E,92,42,0.92,0.05000000074505806,-0.05,0.25,False,0.013,worst_case,0.8942505133470227,True
TPM__SFTA1P,91,42,0.91,0.07000000029802322,0.39,0.22,False,0.013,worst_case,0.8942505133470227,True
METH__TCEANC,90,40,0.9,0.07000000029802322,-0.39,0.23,False,0.0,worst_case,0.8942505133470227,True
